iter	Passed	Remaining
412	1843	2620
413	1846	2613
414	1849	2607
415	1851	2599
416	1856	2595
417	1859	2588
418	1861	2581
419	1863	2573
420	1865	2566
421	1869	2560
422	1871	2553
423	1873	2545
424	1875	2538
425	1877	2530
426	1879	2522
427	1881	2514
428	1887	2512
429	1890	2505
430	1892	2498
431	1894	2490
432	1895	2482
433	1897	2475
434	1903	2471
435	1905	2464
436	1906	2456
437	1908	2449
438	1911	2442
439	1913	2435
440	1916	2428
441	1917	2421
442	1919	2413
443	1922	2407
444	1924	2399
445	1926	2392
446	1932	2390
447	1934	2383
448	1936	2376
449	1938	2368
450	1940	2361
451	1941	2354
452	1946	2350
453	1948	2343
454	1950	2336
455	1952	2329
456	1954	2322
457	1956	2315
458	1960	2310
459	1962	2304
460	1964	2297
461	1966	2290
462	1968	2283
463	1970	2276
464	1972	2269
465	1977	2266
466	1979	2259
467	1981	2252
468	1983	2245
469	1985	2238
470	1987	2232
471	1992	2228
472	1994	2221
473	1996	2214
474	1997	2208
475	1999	2201
476	2001	2194
477	2003	2188
478	2008	2184
479	2010	2178
480	2012	2171
481	2014	2164
482	2016	2158
483	2018	2151
484	2025	2150
485	2027	2144
486	2030	2138
487	2033	2133
488	2039	2131
489	2042	2125
490	2046	2121
491	2048	2115
492	2050	2109
493	2054	2104
494	2057	2099
495	2060	2093
496	2062	2087
497	2066	2082
498	2070	2078
499	2072	2072
500	2076	2068
501	2079	2062
502	2084	2060
503	2087	2054
504	2089	2048
505	2102	2052
506	2105	2047
507	2108	2041
508	2114	2039
509	2117	2034
510	2120	2029
511	2123	2023
512	2135	2027
513	2138	2021
514	2140	2016
515	2144	2011
516	2147	2006
517	2150	2000
518	2152	1995
519	2155	1989
520	2158	1984
521	2161	1979
522	2163	1973
523	2166	1968
524	2168	1962
525	2170	1956
526	2175	1952
527	2178	1947
528	2180	1941
529	2182	1935
530	2184	1929
531	2186	1923
532	2190	1919
533	2193	1914
534	2195	1908
535	2198	1902
536	2201	1897
537	2203	1892
538	2205	1886
539	2208	1881
540	2210	1875
541	2212	1869
542	2214	1863
